x1hr,x2hr,x3hr,x6hr,x12hr,x24hr
0.11,0.105,0.1066666667,0.1066666667,0.06333333333,0.03958333333
0.49,0.355,0.31,0.2283333333,0.1275,0.05208333333
0.56,0.36,0.27,0.16,0.0825,0.06583333333
0.53,0.415,0.3666666667,0.3016666667,0.2025,0.08833333333
0.68,0.405,0.28,0.1466666667,0.07583333333,0.04791666667
1.06,0.79,0.6633333333,0.4533333333,0.27,0.04625
0.36,0.35,0.2866666667,0.1966666667,0.1166666667,0.04583333333
0.53,0.455,0.4333333333,0.4266666667,0.3333333333,0.12625
0.43,0.34,0.2766666667,0.24,0.1366666667,0.06583333333
0.64,0.51,0.4666666667,0.3916666667,0.2908333333,0.1429166667
0.41,0.36,0.2833333333,0.1733333333,0.12,0.15
0.44,0.43,0.3466666667,0.2366666667,0.1291666667,0.05791666667
0.56,0.35,0.32,0.1783333333,0.1016666667,0.0775
0.76,0.48,0.38,0.315,0.2908333333,0.11125
0.54,0.45,0.3733333333,0.2766666667,0.1975,0.03541666667
0.42,0.32,0.2533333333,0.175,0.1091666667,0.03708333333
0.4,0.345,0.25,0.1366666667,0.08916666667,0.06375
0.36,0.285,0.2366666667,0.1983333333,0.1383333333,0.04125
0.89,0.505,0.37,0.3266666667,0.195,0.1183333333
0.97,0.835,0.68,0.4833333333,0.2858333333,0.05958333333
0.72,0.6,0.5233333333,0.4566666667,0.285,0.1366666667
0.38,0.315,0.2266666667,0.1433333333,0.095,0.0525
0.44,0.38,0.3733333333,0.34,0.1908333333,0.2283333333
0.5,0.495,0.4266666667,0.335,0.1833333333,0.06541666667
1.57,0.845,0.5866666667,0.3016666667,0.1525,0.1454166667
0.43,0.35,0.3166666667,0.215,0.1266666667,0.06083333333
0.86,0.615,0.45,0.295,0.1858333333,0.06791666667
0.32,0.3,0.2166666667,0.1216666667,0.1033333333,0.05083333333
0.87,0.535,0.4433333333,0.24,0.1491666667,0.1629166667
1.01,0.615,0.4633333333,0.2383333333,0.2033333333,0.1341666667
0.52,0.29,0.2466666667,0.2366666667,0.1416666667,0.04833333333
0.64,0.435,0.3366666667,0.27,0.2041666667,0.05
0.37,0.235,0.1933333333,0.15,0.09166666667,0.08833333333
0.53,0.49,0.3466666667,0.23,0.1408333333,0.1016666667
0.84,0.58,0.5366666667,0.365,0.1925,0.2333333333
0.37,0.27,0.23,0.1433333333,0.0825,0.1458333333
0.56,0.45,0.3133333333,0.2016666667,0.1216666667,0.0525
0.63,0.595,0.5233333333,0.41,0.2391666667,0.11
0.48,0.36,0.2966666667,0.1816666667,0.09333333333,0.09375
0.54,0.32,0.2233333333,0.1333333333,0.08416666667,0.07333333333
0.19,0.18,0.1633333333,0.1166666667,0.08083333333,0.07125
0.22,0.195,0.18,0.1533333333,0.1358333333,0.08416666667
0.31,0.285,0.2133333333,0.1666666667,0.1333333333,0.06041666667
0.54,0.345,0.28,0.185,0.1075,0.08833333333
0.95,0.67,0.57,0.3983333333,0.2025,0.10875
0.41,0.33,0.2466666667,0.185,0.105,0.06708333333
0.99,0.775,0.67,0.5033333333,0.2866666667,0.1241666667
0.41,0.3,0.26,0.1533333333,0.1025,0.05291666667
0.45,0.365,0.3166666667,0.2133333333,0.12,0.08208333333
1.49,0.945,0.72,0.4233333333,0.24,0.10625
0.5,0.45,0.3833333333,0.1983333333,0.1125,0.0475
0.68,0.425,0.3133333333,0.2133333333,0.11,0.0675
0.49,0.475,0.44,0.3616666667,0.2108333333,0.1108333333
0.35,0.23,0.1733333333,0.09833333333,0.05,0.04666666667
0.55,0.5,0.4233333333,0.2716666667,0.1758333333,0.05833333333
0.77,0.445,0.3566666667,0.2283333333,0.1616666667,0.04041666667
0.8,0.705,0.5333333333,0.385,0.2458333333,0.08166666667
0.4,0.385,0.3633333333,0.2166666667,0.1225,0.07833333333
0.16,0.115,0.09333333333,0.05333333333,0.02916666667,0.06833333333
0.27,0.25,0.2166666667,0.1366666667,0.08666666667,0.1345833333
0.59,0.52,0.4366666667,0.28,0.1566666667,0.0525
,,,,,0.1458333333
,,,,,0.07916666667
,,,,,0.06083333333
,,,,,0.1283333333
,,,,,0.05625
,,,,,0.06916666667
,,,,,0.1120833333
,,,,,0.025
,,,,,0.08958333333
,,,,,0.07333333333
,,,,,0.18875
,,,,,0.07291666667
,,,,,0.04416666667
,,,,,0.07875
